jogo,data,fase,grupo,mandante,palpite,visitante,P_mandante,P_empate,P_visitante,ousado,mais_provavel,prorrogacao,penaltis,avanca,status,placar_real
1,2026-06-11,group,A,México,2x0,África do Sul,,,,,,,,,FINAL,2x0
2,2026-06-11,group,A,Coreia do Sul,2x1,República Tcheca,,,,,,,,,FINAL,2x1
3,2026-06-12,group,B,Canadá,1x1,Bósnia e Herzegovina,,,,,,,,,FINAL,1x1
4,2026-06-12,group,D,Estados Unidos,4x1,Paraguai,,,,,,,,,FINAL,4x1
5,2026-06-13,group,D,Austrália,2x0,Turquia,,,,,,,,,FINAL,2x0
6,2026-06-13,group,C,Brasil,1x1,Marrocos,,,,,,,,,FINAL,1x1
7,2026-06-13,group,C,Haiti,0x1,Escócia,,,,,,,,,FINAL,0x1
8,2026-06-13,group,B,Catar,1x1,Suíça,,,,,,,,,FINAL,1x1
9,2026-06-14,group,E,Alemanha,3x0,Curaçao,87%,10%,3%,,3x0,,,,PREVISTO,
10,2026-06-14,group,E,Costa do Marfim,0x1,Equador,14%,33%,53%,,0x1,,,,PREVISTO,
11,2026-06-14,group,F,Holanda,1x2,Japão,33%,29%,38%,,1x1,,,,PREVISTO,
12,2026-06-14,group,F,Suécia,1x0,Tunísia,37%,31%,32%,,1x1,,,,PREVISTO,
13,2026-06-15,group,G,Bélgica,1x0,Egito,53%,29%,18%,,1x0,,,,PREVISTO,
14,2026-06-15,group,G,Irã,1x0,Nova Zelândia,49%,30%,21%,,1x0,,,,PREVISTO,
15,2026-06-15,group,H,Arábia Saudita,0x1,Uruguai,9%,28%,63%,,0x1,,,,PREVISTO,
16,2026-06-15,group,H,Espanha,2x0,Cabo Verde,84%,12%,4%,,2x0,,,,PREVISTO,
17,2026-06-16,group,J,Argentina,2x0,Argélia,75%,19%,6%,,2x0,,,,PREVISTO,
18,2026-06-16,group,J,Áustria,1x0,Jordânia,50%,28%,22%,,1x1,,,,PREVISTO,
19,2026-06-16,group,I,França,1x0,Senegal,50%,30%,20%,,1x0,,,,PREVISTO,
20,2026-06-16,group,I,Iraque,0x1,Noruega,17%,27%,56%,,0x1,,,,PREVISTO,
21,2026-06-17,group,L,Inglaterra,1x0,Croácia,49%,30%,21%,,1x0,,,,PREVISTO,
22,2026-06-17,group,L,Gana,0x1,Panamá,29%,31%,40%,,1x1,,,,PREVISTO,
23,2026-06-17,group,K,Portugal,2x0,RD Congo,66%,24%,10%,,1x0,,,,PREVISTO,
24,2026-06-17,group,K,Uzbequistão,0x1,Colômbia,10%,25%,65%,,0x1,,,,PREVISTO,
25,2026-06-18,group,B,Canadá,2x0,Catar,65%,22%,13%,,2x0,,,,PREVISTO,
26,2026-06-18,group,A,República Tcheca,1x0,África do Sul,47%,30%,23%,,1x1,,,,PREVISTO,
27,2026-06-18,group,A,México,1x0,Coreia do Sul,52%,28%,20%,,1x1,,,,PREVISTO,
28,2026-06-18,group,B,Suíça,1x0,Bósnia e Herzegovina,57%,27%,16%,,1x0,,,,PREVISTO,
29,2026-06-19,group,C,Brasil,3x0,Haiti,89%,9%,2%,,3x0,,,,PREVISTO,
30,2026-06-19,group,C,Escócia,0x1,Marrocos,17%,34%,49%,,0x1,,,,PREVISTO,
31,2026-06-19,group,D,Turquia,1x2,Paraguai,31%,29%,40%,,1x1,,,,PREVISTO,
32,2026-06-19,group,D,Estados Unidos,2x1,Austrália,38%,29%,33%,,1x1,,,,PREVISTO,
33,2026-06-20,group,E,Equador,2x0,Curaçao,80%,16%,4%,,2x0,,,,PREVISTO,
34,2026-06-20,group,E,Alemanha,2x0,Costa do Marfim,58%,25%,17%,,1x0,,,,PREVISTO,
35,2026-06-20,group,F,Holanda,2x1,Suécia,61%,22%,17%,,1x1,,,,PREVISTO,
36,2026-06-20,group,F,Tunísia,0x1,Japão,14%,28%,58%,,0x1,,,,PREVISTO,
37,2026-06-21,group,G,Bélgica,1x0,Irã,42%,30%,28%,,1x1,,,,PREVISTO,
38,2026-06-21,group,G,Nova Zelândia,0x0,Egito,31%,34%,35%,⚡,0x0,,,,PREVISTO,
39,2026-06-21,group,H,Espanha,2x0,Arábia Saudita,73%,20%,7%,,2x0,,,,PREVISTO,
40,2026-06-21,group,H,Uruguai,2x0,Cabo Verde,74%,21%,5%,,1x0,,,,PREVISTO,
41,2026-06-22,group,J,Argentina,2x0,Áustria,73%,20%,7%,,2x0,,,,PREVISTO,
42,2026-06-22,group,I,França,2x0,Iraque,66%,24%,10%,,1x0,,,,PREVISTO,
43,2026-06-22,group,J,Jordânia,1x2,Argélia,22%,27%,51%,,1x1,,,,PREVISTO,
44,2026-06-22,group,I,Noruega,1x0,Senegal,39%,30%,31%,,1x1,,,,PREVISTO,
45,2026-06-23,group,K,Colômbia,2x0,RD Congo,73%,21%,6%,,1x0,,,,PREVISTO,
46,2026-06-23,group,L,Inglaterra,2x0,Gana,73%,20%,7%,,2x0,,,,PREVISTO,
47,2026-06-23,group,L,Panamá,0x2,Croácia,17%,25%,58%,,0x1,,,,PREVISTO,
48,2026-06-23,group,K,Portugal,1x0,Uzbequistão,56%,28%,16%,,1x0,,,,PREVISTO,
49,2026-06-24,group,B,Bósnia e Herzegovina,0x1,Catar,36%,31%,33%,⚡,1x1,,,,PREVISTO,
50,2026-06-24,group,B,Suíça,0x1,Canadá,32%,30%,38%,,1x1,,,,PREVISTO,
51,2026-06-24,group,A,República Tcheca,0x2,México,11%,21%,68%,,0x2,,,,PREVISTO,
52,2026-06-24,group,C,Marrocos,2x0,Haiti,70%,23%,7%,,1x0,,,,PREVISTO,
53,2026-06-24,group,C,Escócia,0x2,Brasil,8%,21%,71%,,0x2,,,,PREVISTO,
54,2026-06-24,group,A,África do Sul,0x1,Coreia do Sul,14%,27%,59%,,0x1,,,,PREVISTO,
55,2026-06-25,group,E,Curaçao,0x1,Costa do Marfim,12%,26%,62%,,0x1,,,,PREVISTO,
56,2026-06-25,group,E,Equador,1x0,Alemanha,39%,33%,28%,,0x0,,,,PREVISTO,
57,2026-06-25,group,F,Japão,2x0,Suécia,61%,23%,16%,,2x0,,,,PREVISTO,
58,2026-06-25,group,D,Paraguai,0x1,Austrália,20%,31%,49%,,0x1,,,,PREVISTO,
59,2026-06-25,group,F,Tunísia,0x1,Holanda,16%,27%,57%,,0x1,,,,PREVISTO,
60,2026-06-25,group,D,Turquia,1x2,Estados Unidos,14%,19%,67%,,1x2,,,,PREVISTO,
61,2026-06-26,group,H,Cabo Verde,0x1,Arábia Saudita,22%,35%,43%,,0x0,,,,PREVISTO,
62,2026-06-26,group,G,Egito,0x1,Irã,23%,33%,44%,,0x1,,,,PREVISTO,
63,2026-06-26,group,G,Nova Zelândia,0x2,Bélgica,16%,25%,59%,,0x1,,,,PREVISTO,
64,2026-06-26,group,I,Noruega,1x2,França,23%,27%,50%,,1x1,,,,PREVISTO,
65,2026-06-26,group,I,Senegal,1x0,Iraque,48%,33%,19%,,1x0,,,,PREVISTO,
66,2026-06-26,group,H,Uruguai,0x1,Espanha,30%,34%,36%,,0x0,,,,PREVISTO,
67,2026-06-27,group,J,Argélia,1x1,Áustria,35%,31%,34%,⚡,1x1,,,,PREVISTO,
68,2026-06-27,group,K,Colômbia,1x0,Portugal,46%,29%,25%,,1x1,,,,PREVISTO,
69,2026-06-27,group,L,Croácia,1x0,Gana,61%,26%,13%,,1x0,,,,PREVISTO,
70,2026-06-27,group,K,RD Congo,0x1,Uzbequistão,23%,38%,39%,,0x0,,,,PREVISTO,
71,2026-06-27,group,J,Jordânia,0x2,Argentina,3%,11%,86%,,0x2,,,,PREVISTO,
72,2026-06-27,group,L,Panamá,0x2,Inglaterra,9%,20%,71%,,0x2,,,,PREVISTO,
73,2026-06-28,R32,,Coreia do Sul,0x1,Suíça,51%,,,,,Vai aos pênaltis,Coreia do Sul,Coreia do Sul,PREVISTO,
74,2026-06-29,R32,,Alemanha,2x0,Escócia,76%,,,,,Alemanha,Alemanha,Alemanha,PREVISTO,
75,2026-06-29,R32,,Japão,1x0,Marrocos,51%,,,,,Vai aos pênaltis,Japão,Japão,PREVISTO,
76,2026-06-29,R32,,Brasil,2x0,Holanda,75%,,,,,Brasil,Brasil,Brasil,PREVISTO,
77,2026-06-30,R32,,França,2x0,Paraguai,78%,,,,,França,França,França,PREVISTO,
78,2026-06-30,R32,,Equador,1x0,Noruega,68%,,,,,Equador,Equador,Equador,PREVISTO,
79,2026-06-30,R32,,México,1x0,Arábia Saudita,81%,,,,,México,México,México,PREVISTO,
80,2026-07-01,R32,,Inglaterra,1x0,Uzbequistão,81%,,,,,Inglaterra,Inglaterra,Inglaterra,PREVISTO,
81,2026-07-01,R32,,Estados Unidos,1x0,Costa do Marfim,71%,,,,,Estados Unidos,Estados Unidos,Estados Unidos,PREVISTO,
82,2026-07-01,R32,,Bélgica,2x0,República Tcheca,80%,,,,,Bélgica,Bélgica,Bélgica,PREVISTO,
83,2026-07-02,R32,,Portugal,1x0,Croácia,65%,,,,,Portugal,Portugal,Portugal,PREVISTO,
84,2026-07-02,R32,,Espanha,2x0,Argélia,82%,,,,,Espanha,Espanha,Espanha,PREVISTO,
85,2026-07-02,R32,,Canadá,0x1,Senegal,44%,,,,,Vai aos pênaltis,Senegal,Senegal,PREVISTO,
86,2026-07-03,R32,,Argentina,1x0,Uruguai,75%,,,,,Argentina,Argentina,Argentina,PREVISTO,
87,2026-07-03,R32,,Colômbia,2x0,Panamá,93%,,,,,Colômbia,Colômbia,Colômbia,PREVISTO,
