jogo,data,fase,grupo,mandante,palpite,visitante,P_mandante,P_empate,P_visitante,ousado,mais_provavel,prorrogacao,penaltis,avanca,status,placar_real
1,2026-06-11,group,A,México,2x0,África do Sul,,,,,,,,,FINAL,2x0
2,2026-06-11,group,A,Coreia do Sul,2x1,República Tcheca,,,,,,,,,FINAL,2x1
3,2026-06-12,group,B,Canadá,2x0,Bósnia e Herzegovina,75%,17%,8%,,2x0,,,,PREVISTO,
4,2026-06-12,group,D,Estados Unidos,0x1,Paraguai,32%,29%,39%,,1x1,,,,PREVISTO,
5,2026-06-13,group,D,Austrália,1x0,Turquia,50%,28%,22%,,1x0,,,,PREVISTO,
6,2026-06-13,group,C,Brasil,1x0,Marrocos,51%,32%,17%,,1x0,,,,PREVISTO,
7,2026-06-13,group,C,Haiti,1x2,Escócia,24%,26%,50%,,1x1,,,,PREVISTO,
8,2026-06-13,group,B,Catar,0x2,Suíça,14%,21%,65%,,0x2,,,,PREVISTO,
9,2026-06-14,group,E,Alemanha,3x0,Curaçao,83%,12%,5%,,2x0,,,,PREVISTO,
10,2026-06-14,group,E,Costa do Marfim,0x1,Equador,13%,30%,57%,,0x1,,,,PREVISTO,
11,2026-06-14,group,F,Holanda,0x1,Japão,29%,27%,44%,,1x1,,,,PREVISTO,
12,2026-06-14,group,F,Suécia,1x0,Tunísia,36%,31%,33%,,1x1,,,,PREVISTO,
13,2026-06-15,group,G,Bélgica,1x0,Egito,50%,29%,21%,,1x0,,,,PREVISTO,
14,2026-06-15,group,G,Irã,1x0,Nova Zelândia,51%,28%,21%,,1x0,,,,PREVISTO,
15,2026-06-15,group,H,Arábia Saudita,0x1,Uruguai,8%,24%,68%,,0x1,,,,PREVISTO,
16,2026-06-15,group,H,Espanha,2x0,Cabo Verde,82%,13%,5%,,2x0,,,,PREVISTO,
17,2026-06-16,group,J,Argentina,2x0,Argélia,78%,17%,5%,,2x0,,,,PREVISTO,
18,2026-06-16,group,J,Áustria,1x0,Jordânia,44%,29%,27%,,1x1,,,,PREVISTO,
19,2026-06-16,group,I,França,1x0,Senegal,47%,30%,23%,,1x0,,,,PREVISTO,
20,2026-06-16,group,I,Iraque,0x1,Noruega,21%,28%,51%,,0x1,,,,PREVISTO,
21,2026-06-17,group,L,Inglaterra,1x0,Croácia,50%,30%,20%,,1x0,,,,PREVISTO,
22,2026-06-17,group,L,Gana,0x1,Panamá,29%,29%,42%,,1x1,,,,PREVISTO,
23,2026-06-17,group,K,Portugal,1x0,RD Congo,63%,25%,12%,,1x0,,,,PREVISTO,
24,2026-06-17,group,K,Uzbequistão,0x1,Colômbia,11%,24%,65%,,0x1,,,,PREVISTO,
25,2026-06-18,group,B,Canadá,2x0,Catar,74%,17%,9%,,2x0,,,,PREVISTO,
26,2026-06-18,group,A,República Tcheca,1x0,África do Sul,44%,30%,26%,,1x0,,,,PREVISTO,
27,2026-06-18,group,A,México,1x0,Coreia do Sul,52%,27%,21%,,1x0,,,,PREVISTO,
28,2026-06-18,group,B,Suíça,2x0,Bósnia e Herzegovina,66%,22%,12%,,1x0,,,,PREVISTO,
29,2026-06-19,group,C,Brasil,3x0,Haiti,92%,6%,2%,,3x0,,,,PREVISTO,
30,2026-06-19,group,C,Escócia,0x1,Marrocos,15%,31%,54%,,0x1,,,,PREVISTO,
31,2026-06-19,group,D,Turquia,0x1,Paraguai,18%,27%,55%,,0x1,,,,PREVISTO,
32,2026-06-19,group,D,Estados Unidos,1x0,Austrália,38%,28%,34%,,1x1,,,,PREVISTO,
33,2026-06-20,group,E,Equador,2x0,Curaçao,83%,13%,4%,,2x0,,,,PREVISTO,
34,2026-06-20,group,E,Alemanha,1x0,Costa do Marfim,54%,26%,20%,,1x0,,,,PREVISTO,
35,2026-06-20,group,F,Holanda,2x1,Suécia,60%,22%,18%,,1x1,,,,PREVISTO,
36,2026-06-20,group,F,Tunísia,0x1,Japão,13%,26%,61%,,0x1,,,,PREVISTO,
37,2026-06-21,group,G,Bélgica,1x0,Irã,38%,29%,33%,,1x1,,,,PREVISTO,
38,2026-06-21,group,G,Nova Zelândia,0x1,Egito,32%,33%,35%,,0x0,,,,PREVISTO,
39,2026-06-21,group,H,Espanha,2x0,Arábia Saudita,70%,21%,9%,,1x0,,,,PREVISTO,
40,2026-06-21,group,H,Uruguai,2x0,Cabo Verde,79%,16%,5%,,2x0,,,,PREVISTO,
41,2026-06-22,group,J,Argentina,2x0,Áustria,78%,17%,5%,,2x0,,,,PREVISTO,
42,2026-06-22,group,I,França,1x0,Iraque,62%,25%,13%,,1x0,,,,PREVISTO,
43,2026-06-22,group,J,Jordânia,0x1,Argélia,25%,27%,48%,,1x1,,,,PREVISTO,
44,2026-06-22,group,I,Noruega,1x0,Senegal,36%,29%,35%,,1x1,,,,PREVISTO,
45,2026-06-23,group,K,Colômbia,2x0,RD Congo,75%,19%,6%,,1x0,,,,PREVISTO,
46,2026-06-23,group,L,Inglaterra,2x0,Gana,71%,21%,8%,,1x0,,,,PREVISTO,
47,2026-06-23,group,L,Panamá,0x1,Croácia,21%,26%,53%,,0x1,,,,PREVISTO,
48,2026-06-23,group,K,Portugal,1x0,Uzbequistão,52%,29%,19%,,1x0,,,,PREVISTO,
49,2026-06-24,group,B,Bósnia e Herzegovina,0x1,Catar,31%,28%,41%,,1x1,,,,PREVISTO,
50,2026-06-24,group,B,Suíça,1x2,Canadá,28%,27%,45%,,1x1,,,,PREVISTO,
51,2026-06-24,group,A,República Tcheca,0x2,México,11%,19%,70%,,0x2,,,,PREVISTO,
52,2026-06-24,group,C,Marrocos,2x0,Haiti,69%,22%,9%,,1x0,,,,PREVISTO,
53,2026-06-24,group,C,Escócia,0x2,Brasil,5%,14%,81%,,0x2,,,,PREVISTO,
54,2026-06-24,group,A,África do Sul,0x1,Coreia do Sul,14%,26%,60%,,0x1,,,,PREVISTO,
55,2026-06-25,group,E,Curaçao,0x1,Costa do Marfim,14%,26%,60%,,0x1,,,,PREVISTO,
56,2026-06-25,group,E,Equador,1x0,Alemanha,47%,30%,23%,,1x0,,,,PREVISTO,
57,2026-06-25,group,F,Japão,2x0,Suécia,66%,21%,13%,,2x0,,,,PREVISTO,
58,2026-06-25,group,D,Paraguai,1x0,Austrália,38%,34%,28%,,0x0,,,,PREVISTO,
59,2026-06-25,group,F,Tunísia,0x1,Holanda,17%,27%,56%,,0x1,,,,PREVISTO,
60,2026-06-25,group,D,Turquia,1x2,Estados Unidos,21%,22%,57%,,1x1,,,,PREVISTO,
61,2026-06-26,group,H,Cabo Verde,0x1,Arábia Saudita,23%,32%,45%,,0x1,,,,PREVISTO,
62,2026-06-26,group,G,Egito,0x1,Irã,22%,32%,46%,,0x1,,,,PREVISTO,
63,2026-06-26,group,G,Nova Zelândia,0x1,Bélgica,19%,26%,55%,,0x1,,,,PREVISTO,
64,2026-06-26,group,I,Noruega,1x2,França,24%,26%,50%,,1x1,,,,PREVISTO,
65,2026-06-26,group,I,Senegal,1x0,Iraque,47%,32%,21%,,1x0,,,,PREVISTO,
66,2026-06-26,group,H,Uruguai,1x0,Espanha,36%,33%,31%,,0x0,,,,PREVISTO,
67,2026-06-27,group,J,Argélia,1x0,Áustria,38%,30%,32%,,1x1,,,,PREVISTO,
68,2026-06-27,group,K,Colômbia,1x0,Portugal,51%,27%,22%,,1x1,,,,PREVISTO,
69,2026-06-27,group,L,Croácia,1x0,Gana,58%,26%,16%,,1x0,,,,PREVISTO,
70,2026-06-27,group,K,RD Congo,0x1,Uzbequistão,22%,37%,41%,,0x0,,,,PREVISTO,
71,2026-06-27,group,J,Jordânia,0x2,Argentina,3%,10%,87%,,0x2,,,,PREVISTO,
72,2026-06-27,group,L,Panamá,0x2,Inglaterra,11%,21%,68%,,0x1,,,,PREVISTO,
73,2026-06-28,R32,,Coreia do Sul,1x0,Suíça,50%,,,,,Vai aos pênaltis,Coreia do Sul,Coreia do Sul,PREVISTO,
74,2026-06-29,R32,,Equador,2x0,República Tcheca,88%,,,,,Equador,Equador,Equador,PREVISTO,
75,2026-06-29,R32,,Japão,1x0,Marrocos,54%,,,,,Vai aos pênaltis,Japão,Japão,PREVISTO,
76,2026-06-29,R32,,Brasil,2x0,Holanda,82%,,,,,Brasil,Brasil,Brasil,PREVISTO,
77,2026-06-30,R32,,França,1x0,Arábia Saudita,83%,,,,,França,França,França,PREVISTO,
78,2026-06-30,R32,,Alemanha,1x0,Senegal,64%,,,,,Alemanha,Alemanha,Alemanha,PREVISTO,
79,2026-06-30,R32,,México,1x0,Escócia,76%,,,,,México,México,México,PREVISTO,
80,2026-07-01,R32,,Inglaterra,1x0,Uzbequistão,76%,,,,,Inglaterra,Inglaterra,Inglaterra,PREVISTO,
81,2026-07-01,R32,,Paraguai,2x0,Catar,89%,,,,,Paraguai,Paraguai,Paraguai,PREVISTO,
82,2026-07-01,R32,,Bélgica,1x0,Costa do Marfim,69%,,,,,Bélgica,Bélgica,Bélgica,PREVISTO,
83,2026-07-02,R32,,Portugal,1x0,Croácia,68%,,,,,Portugal,Portugal,Portugal,PREVISTO,
84,2026-07-02,R32,,Espanha,2x0,Argélia,80%,,,,,Espanha,Espanha,Espanha,PREVISTO,
85,2026-07-02,R32,,Canadá,1x0,Egito,64%,,,,,Canadá,Canadá,Canadá,PREVISTO,
86,2026-07-03,R32,,Argentina,1x0,Uruguai,73%,,,,,Argentina,Argentina,Argentina,PREVISTO,
87,2026-07-03,R32,,Colômbia,2x0,Panamá,93%,,,,,Colômbia,Colômbia,Colômbia,PREVISTO,
