jogo,data,fase,grupo,mandante,palpite,visitante,P_mandante,P_empate,P_visitante,ousado,mais_provavel,prorrogacao,penaltis,avanca,status,placar_real
1,2026-06-11,group,A,México,2x0,África do Sul,,,,,,,,,FINAL,2x0
2,2026-06-11,group,A,Coreia do Sul,2x1,República Tcheca,,,,,,,,,FINAL,2x1
3,2026-06-12,group,B,Canadá,1x1,Bósnia e Herzegovina,,,,,,,,,FINAL,1x1
4,2026-06-12,group,D,Estados Unidos,4x1,Paraguai,,,,,,,,,FINAL,4x1
5,2026-06-13,group,D,Austrália,2x0,Turquia,,,,,,,,,FINAL,2x0
6,2026-06-13,group,C,Brasil,1x1,Marrocos,,,,,,,,,FINAL,1x1
7,2026-06-13,group,C,Haiti,0x1,Escócia,,,,,,,,,FINAL,0x1
8,2026-06-13,group,B,Catar,1x1,Suíça,,,,,,,,,FINAL,1x1
9,2026-06-14,group,E,Alemanha,7x1,Curaçao,,,,,,,,,FINAL,7x1
10,2026-06-14,group,E,Costa do Marfim,1x0,Equador,,,,,,,,,FINAL,1x0
11,2026-06-14,group,F,Holanda,2x2,Japão,,,,,,,,,FINAL,2x2
12,2026-06-14,group,F,Suécia,5x1,Tunísia,,,,,,,,,FINAL,5x1
13,2026-06-15,group,G,Bélgica,1x0,Egito,57%,27%,16%,,1x0,,,,PREVISTO,
14,2026-06-15,group,G,Irã,1x0,Nova Zelândia,59%,27%,14%,,1x0,,,,PREVISTO,
15,2026-06-15,group,H,Arábia Saudita,0x1,Uruguai,12%,29%,59%,,0x1,,,,PREVISTO,
16,2026-06-15,group,H,Espanha,3x0,Cabo Verde,87%,10%,3%,,2x0,,,,PREVISTO,
17,2026-06-16,group,J,Argentina,1x0,Argélia,62%,25%,13%,,1x0,,,,PREVISTO,
18,2026-06-16,group,J,Áustria,2x0,Jordânia,59%,25%,16%,,1x0,,,,PREVISTO,
19,2026-06-16,group,I,França,1x0,Senegal,52%,29%,19%,,1x0,,,,PREVISTO,
20,2026-06-16,group,I,Iraque,0x2,Noruega,11%,23%,66%,,0x1,,,,PREVISTO,
21,2026-06-17,group,L,Inglaterra,1x0,Croácia,51%,29%,20%,,1x0,,,,PREVISTO,
22,2026-06-17,group,L,Gana,1x0,Panamá,38%,30%,32%,,1x1,,,,PREVISTO,
23,2026-06-17,group,K,Portugal,2x0,RD Congo,69%,22%,9%,,1x0,,,,PREVISTO,
24,2026-06-17,group,K,Uzbequistão,0x1,Colômbia,14%,27%,59%,,0x1,,,,PREVISTO,
25,2026-06-18,group,B,Canadá,2x0,Catar,60%,24%,16%,,1x0,,,,PREVISTO,
26,2026-06-18,group,A,República Tcheca,1x0,África do Sul,52%,27%,21%,,1x0,,,,PREVISTO,
27,2026-06-18,group,A,México,1x0,Coreia do Sul,48%,29%,23%,,1x1,,,,PREVISTO,
28,2026-06-18,group,B,Suíça,1x0,Bósnia e Herzegovina,57%,26%,17%,,1x0,,,,PREVISTO,
29,2026-06-19,group,C,Brasil,3x0,Haiti,87%,10%,3%,,2x0,,,,PREVISTO,
30,2026-06-19,group,C,Escócia,0x1,Marrocos,19%,34%,47%,,0x1,,,,PREVISTO,
31,2026-06-19,group,D,Turquia,2x1,Paraguai,47%,27%,26%,,1x1,,,,PREVISTO,
32,2026-06-19,group,D,Estados Unidos,0x1,Austrália,32%,29%,39%,,1x1,,,,PREVISTO,
33,2026-06-20,group,E,Equador,2x0,Curaçao,82%,14%,4%,,2x0,,,,PREVISTO,
34,2026-06-20,group,E,Alemanha,1x0,Costa do Marfim,53%,27%,20%,,1x0,,,,PREVISTO,
35,2026-06-20,group,F,Holanda,2x1,Suécia,51%,22%,27%,,2x1,,,,PREVISTO,
36,2026-06-20,group,F,Tunísia,0x2,Japão,10%,18%,72%,,0x2,,,,PREVISTO,
37,2026-06-21,group,G,Bélgica,1x0,Irã,52%,27%,21%,,1x0,,,,PREVISTO,
38,2026-06-21,group,G,Nova Zelândia,0x1,Egito,18%,33%,49%,,0x1,,,,PREVISTO,
39,2026-06-21,group,H,Espanha,2x0,Arábia Saudita,82%,14%,4%,,2x0,,,,PREVISTO,
40,2026-06-21,group,H,Uruguai,1x0,Cabo Verde,66%,25%,9%,,1x0,,,,PREVISTO,
41,2026-06-22,group,J,Argentina,1x0,Áustria,58%,28%,14%,,1x0,,,,PREVISTO,
42,2026-06-22,group,I,França,2x0,Iraque,74%,19%,7%,,2x0,,,,PREVISTO,
43,2026-06-22,group,J,Jordânia,0x2,Argélia,18%,24%,58%,,0x1,,,,PREVISTO,
44,2026-06-22,group,I,Noruega,1x0,Senegal,42%,29%,29%,,1x1,,,,PREVISTO,
45,2026-06-23,group,K,Colômbia,1x0,RD Congo,61%,27%,12%,,1x0,,,,PREVISTO,
46,2026-06-23,group,L,Inglaterra,2x0,Gana,77%,17%,6%,,2x0,,,,PREVISTO,
47,2026-06-23,group,L,Panamá,0x2,Croácia,11%,20%,69%,,0x2,,,,PREVISTO,
48,2026-06-23,group,K,Portugal,2x0,Uzbequistão,67%,22%,11%,,1x0,,,,PREVISTO,
49,2026-06-24,group,B,Bósnia e Herzegovina,1x0,Catar,42%,30%,28%,,1x1,,,,PREVISTO,
50,2026-06-24,group,B,Suíça,1x0,Canadá,42%,29%,29%,,1x1,,,,PREVISTO,
51,2026-06-24,group,A,República Tcheca,0x2,México,18%,25%,57%,,0x1,,,,PREVISTO,
52,2026-06-24,group,C,Marrocos,2x0,Haiti,75%,19%,6%,,1x0,,,,PREVISTO,
53,2026-06-24,group,C,Escócia,0x1,Brasil,15%,26%,59%,,0x1,,,,PREVISTO,
54,2026-06-24,group,A,África do Sul,0x1,Coreia do Sul,16%,27%,57%,,0x1,,,,PREVISTO,
55,2026-06-25,group,E,Curaçao,0x2,Costa do Marfim,4%,13%,83%,,0x2,,,,PREVISTO,
56,2026-06-25,group,E,Equador,0x1,Alemanha,20%,28%,52%,,0x1,,,,PREVISTO,
57,2026-06-25,group,F,Japão,2x1,Suécia,44%,24%,32%,,1x1,,,,PREVISTO,
58,2026-06-25,group,D,Paraguai,0x1,Austrália,15%,28%,57%,,0x1,,,,PREVISTO,
59,2026-06-25,group,F,Tunísia,0x3,Holanda,7%,14%,79%,,0x2,,,,PREVISTO,
60,2026-06-25,group,D,Turquia,1x2,Estados Unidos,25%,22%,53%,,1x1,,,,PREVISTO,
61,2026-06-26,group,H,Cabo Verde,0x1,Arábia Saudita,27%,34%,39%,,0x0,,,,PREVISTO,
62,2026-06-26,group,G,Egito,0x1,Irã,27%,34%,39%,,0x0,,,,PREVISTO,
63,2026-06-26,group,G,Nova Zelândia,0x2,Bélgica,6%,18%,76%,,0x2,,,,PREVISTO,
64,2026-06-26,group,I,Noruega,1x2,França,25%,27%,48%,,1x1,,,,PREVISTO,
65,2026-06-26,group,I,Senegal,1x0,Iraque,55%,30%,15%,,1x0,,,,PREVISTO,
66,2026-06-26,group,H,Uruguai,0x1,Espanha,18%,29%,53%,,0x1,,,,PREVISTO,
67,2026-06-27,group,J,Argélia,0x1,Áustria,32%,30%,38%,,1x1,,,,PREVISTO,
68,2026-06-27,group,K,Colômbia,0x1,Portugal,29%,28%,43%,,1x1,,,,PREVISTO,
69,2026-06-27,group,L,Croácia,2x0,Gana,64%,23%,13%,,1x0,,,,PREVISTO,
70,2026-06-27,group,K,RD Congo,0x1,Uzbequistão,28%,38%,34%,⚡,0x0,,,,PREVISTO,
71,2026-06-27,group,J,Jordânia,0x2,Argentina,5%,14%,81%,,0x2,,,,PREVISTO,
72,2026-06-27,group,L,Panamá,0x2,Inglaterra,4%,14%,82%,,0x2,,,,PREVISTO,
73,2026-06-28,R32,,Coreia do Sul,1x0,Canadá,59%,,,,,Coreia do Sul,Coreia do Sul,Coreia do Sul,PREVISTO,
74,2026-06-29,R32,,Alemanha,2x0,Escócia,79%,,,,,Alemanha,Alemanha,Alemanha,PREVISTO,
75,2026-06-29,R32,,Holanda,1x0,Marrocos,50%,,,,,Vai aos pênaltis,Holanda,Holanda,PREVISTO,
76,2026-06-29,R32,,Brasil,2x1,Japão,65%,,,,,Brasil,Brasil,Brasil,PREVISTO,
77,2026-06-30,R32,,França,2x1,Suécia,72%,,,,,França,França,França,PREVISTO,
78,2026-06-30,R32,,Costa do Marfim,0x1,Noruega,39%,,,,,Noruega,Noruega,Noruega,PREVISTO,
79,2026-06-30,R32,,México,1x0,Equador,54%,,,,,Vai aos pênaltis,México,México,PREVISTO,
80,2026-07-01,R32,,Inglaterra,1x0,Senegal,77%,,,,,Inglaterra,Inglaterra,Inglaterra,PREVISTO,
81,2026-07-01,R32,,Estados Unidos,1x2,Argélia,49%,,,,,Vai aos pênaltis,Argélia,Argélia,PREVISTO,
82,2026-07-01,R32,,Bélgica,2x0,República Tcheca,81%,,,,,Bélgica,Bélgica,Bélgica,PREVISTO,
83,2026-07-02,R32,,Colômbia,1x0,Croácia,60%,,,,,Colômbia,Colômbia,Colômbia,PREVISTO,
84,2026-07-02,R32,,Espanha,2x0,Áustria,82%,,,,,Espanha,Espanha,Espanha,PREVISTO,
85,2026-07-02,R32,,Suíça,1x0,Egito,66%,,,,,Suíça,Suíça,Suíça,PREVISTO,
86,2026-07-03,R32,,Argentina,1x0,Uruguai,73%,,,,,Argentina,Argentina,Argentina,PREVISTO,
87,2026-07-03,R32,,Portugal,2x0,Turquia,85%,,,,,Portugal,Portugal,Portugal,PREVISTO,
88,2026-07-03,R32,,Austrália,1x0,Irã,63%,,,,,Austrália,Austrália,Austrália,PREVISTO,
