jogo,data,fase,grupo,mandante,palpite,visitante,P_mandante,P_empate,P_visitante,ousado,mais_provavel,prorrogacao,penaltis,avanca,status,placar_real
1,2026-06-11,group,A,México,2x0,África do Sul,,,,,,,,,FINAL,2x0
2,2026-06-11,group,A,Coreia do Sul,2x1,República Tcheca,,,,,,,,,FINAL,2x1
3,2026-06-12,group,B,Canadá,1x1,Bósnia e Herzegovina,,,,,,,,,FINAL,1x1
4,2026-06-12,group,D,Estados Unidos,4x1,Paraguai,,,,,,,,,FINAL,4x1
5,2026-06-13,group,D,Austrália,1x0,Turquia,50%,27%,23%,,1x0,,,,PREVISTO,
6,2026-06-13,group,C,Brasil,1x0,Marrocos,49%,32%,19%,,1x0,,,,PREVISTO,
7,2026-06-13,group,C,Haiti,1x2,Escócia,25%,26%,49%,,1x1,,,,PREVISTO,
8,2026-06-13,group,B,Catar,0x2,Suíça,14%,19%,67%,,0x2,,,,PREVISTO,
9,2026-06-14,group,E,Alemanha,3x0,Curaçao,84%,11%,5%,,2x0,,,,PREVISTO,
10,2026-06-14,group,E,Costa do Marfim,0x1,Equador,14%,31%,55%,,0x1,,,,PREVISTO,
11,2026-06-14,group,F,Holanda,0x1,Japão,30%,27%,43%,,1x1,,,,PREVISTO,
12,2026-06-14,group,F,Suécia,1x0,Tunísia,36%,30%,34%,,1x1,,,,PREVISTO,
13,2026-06-15,group,G,Bélgica,1x0,Egito,51%,28%,21%,,1x0,,,,PREVISTO,
14,2026-06-15,group,G,Irã,1x0,Nova Zelândia,52%,27%,21%,,1x0,,,,PREVISTO,
15,2026-06-15,group,H,Arábia Saudita,0x1,Uruguai,10%,25%,65%,,0x1,,,,PREVISTO,
16,2026-06-15,group,H,Espanha,2x0,Cabo Verde,82%,13%,5%,,2x0,,,,PREVISTO,
17,2026-06-16,group,J,Argentina,2x0,Argélia,76%,17%,7%,,2x0,,,,PREVISTO,
18,2026-06-16,group,J,Áustria,1x0,Jordânia,46%,28%,26%,,1x1,,,,PREVISTO,
19,2026-06-16,group,I,França,1x0,Senegal,49%,29%,22%,,1x0,,,,PREVISTO,
20,2026-06-16,group,I,Iraque,0x1,Noruega,21%,27%,52%,,0x1,,,,PREVISTO,
21,2026-06-17,group,L,Inglaterra,1x0,Croácia,50%,29%,21%,,1x0,,,,PREVISTO,
22,2026-06-17,group,L,Gana,0x1,Panamá,30%,28%,42%,,1x1,,,,PREVISTO,
23,2026-06-17,group,K,Portugal,1x0,RD Congo,63%,25%,12%,,1x0,,,,PREVISTO,
24,2026-06-17,group,K,Uzbequistão,0x1,Colômbia,12%,26%,62%,,0x1,,,,PREVISTO,
25,2026-06-18,group,B,Canadá,2x0,Catar,70%,18%,12%,,2x0,,,,PREVISTO,
26,2026-06-18,group,A,República Tcheca,1x0,África do Sul,45%,29%,26%,,1x0,,,,PREVISTO,
27,2026-06-18,group,A,México,1x0,Coreia do Sul,52%,26%,22%,,1x0,,,,PREVISTO,
28,2026-06-18,group,B,Suíça,1x0,Bósnia e Herzegovina,61%,24%,15%,,1x0,,,,PREVISTO,
29,2026-06-19,group,C,Brasil,3x0,Haiti,90%,7%,3%,,3x0,,,,PREVISTO,
30,2026-06-19,group,C,Escócia,0x1,Marrocos,16%,30%,54%,,0x1,,,,PREVISTO,
31,2026-06-19,group,D,Turquia,1x2,Paraguai,31%,27%,42%,,1x1,,,,PREVISTO,
32,2026-06-19,group,D,Estados Unidos,2x1,Austrália,47%,25%,28%,,1x1,,,,PREVISTO,
33,2026-06-20,group,E,Equador,2x0,Curaçao,81%,15%,4%,,2x0,,,,PREVISTO,
34,2026-06-20,group,E,Alemanha,1x0,Costa do Marfim,55%,26%,19%,,1x0,,,,PREVISTO,
35,2026-06-20,group,F,Holanda,2x1,Suécia,61%,21%,18%,,1x1,,,,PREVISTO,
36,2026-06-20,group,F,Tunísia,0x1,Japão,14%,26%,60%,,0x1,,,,PREVISTO,
37,2026-06-21,group,G,Bélgica,1x0,Irã,38%,29%,33%,,1x1,,,,PREVISTO,
38,2026-06-21,group,G,Nova Zelândia,0x1,Egito,32%,32%,36%,,0x0,,,,PREVISTO,
39,2026-06-21,group,H,Espanha,2x0,Arábia Saudita,71%,20%,9%,,1x0,,,,PREVISTO,
40,2026-06-21,group,H,Uruguai,2x0,Cabo Verde,77%,18%,5%,,2x0,,,,PREVISTO,
41,2026-06-22,group,J,Argentina,2x0,Áustria,76%,18%,6%,,2x0,,,,PREVISTO,
42,2026-06-22,group,I,França,1x0,Iraque,62%,25%,13%,,1x0,,,,PREVISTO,
43,2026-06-22,group,J,Jordânia,0x1,Argélia,25%,26%,49%,,1x1,,,,PREVISTO,
44,2026-06-22,group,I,Noruega,1x0,Senegal,38%,28%,34%,,1x1,,,,PREVISTO,
45,2026-06-23,group,K,Colômbia,1x0,RD Congo,71%,21%,8%,,1x0,,,,PREVISTO,
46,2026-06-23,group,L,Inglaterra,2x0,Gana,72%,20%,8%,,1x0,,,,PREVISTO,
47,2026-06-23,group,L,Panamá,0x1,Croácia,20%,25%,55%,,0x1,,,,PREVISTO,
48,2026-06-23,group,K,Portugal,1x0,Uzbequistão,52%,29%,19%,,1x0,,,,PREVISTO,
49,2026-06-24,group,B,Bósnia e Herzegovina,1x0,Catar,37%,28%,35%,,1x1,,,,PREVISTO,
50,2026-06-24,group,B,Suíça,0x1,Canadá,34%,27%,39%,,1x1,,,,PREVISTO,
51,2026-06-24,group,A,República Tcheca,0x2,México,11%,19%,70%,,0x2,,,,PREVISTO,
52,2026-06-24,group,C,Marrocos,1x0,Haiti,68%,22%,10%,,1x0,,,,PREVISTO,
53,2026-06-24,group,C,Escócia,0x2,Brasil,6%,15%,79%,,0x2,,,,PREVISTO,
54,2026-06-24,group,A,África do Sul,0x1,Coreia do Sul,15%,25%,60%,,0x1,,,,PREVISTO,
55,2026-06-25,group,E,Curaçao,0x1,Costa do Marfim,14%,26%,60%,,0x1,,,,PREVISTO,
56,2026-06-25,group,E,Equador,1x0,Alemanha,43%,30%,27%,,1x0,,,,PREVISTO,
57,2026-06-25,group,F,Japão,2x0,Suécia,66%,21%,13%,,2x0,,,,PREVISTO,
58,2026-06-25,group,D,Paraguai,0x1,Austrália,27%,30%,43%,,0x1,,,,PREVISTO,
59,2026-06-25,group,F,Tunísia,0x1,Holanda,17%,26%,57%,,0x1,,,,PREVISTO,
60,2026-06-25,group,D,Turquia,1x2,Estados Unidos,15%,18%,67%,,1x2,,,,PREVISTO,
61,2026-06-26,group,H,Cabo Verde,0x1,Arábia Saudita,23%,31%,46%,,0x1,,,,PREVISTO,
62,2026-06-26,group,G,Egito,0x1,Irã,22%,31%,47%,,0x1,,,,PREVISTO,
63,2026-06-26,group,G,Nova Zelândia,0x1,Bélgica,19%,25%,56%,,0x1,,,,PREVISTO,
64,2026-06-26,group,I,Noruega,1x2,França,24%,26%,50%,,1x1,,,,PREVISTO,
65,2026-06-26,group,I,Senegal,1x0,Iraque,47%,31%,22%,,1x0,,,,PREVISTO,
66,2026-06-26,group,H,Uruguai,0x1,Espanha,34%,32%,34%,,0x0,,,,PREVISTO,
67,2026-06-27,group,J,Argélia,1x0,Áustria,37%,29%,34%,,1x1,,,,PREVISTO,
68,2026-06-27,group,K,Colômbia,1x0,Portugal,48%,27%,25%,,1x1,,,,PREVISTO,
69,2026-06-27,group,L,Croácia,1x0,Gana,59%,25%,16%,,1x0,,,,PREVISTO,
70,2026-06-27,group,K,RD Congo,0x1,Uzbequistão,23%,37%,40%,,0x0,,,,PREVISTO,
71,2026-06-27,group,J,Jordânia,0x2,Argentina,3%,11%,86%,,0x2,,,,PREVISTO,
72,2026-06-27,group,L,Panamá,0x2,Inglaterra,10%,20%,70%,,0x1,,,,PREVISTO,
73,2026-06-28,R32,,Coreia do Sul,1x0,Canadá,55%,,,,,Vai aos pênaltis,Coreia do Sul,Coreia do Sul,PREVISTO,
74,2026-06-29,R32,,Equador,1x0,República Tcheca,85%,,,,,Equador,Equador,Equador,PREVISTO,
75,2026-06-29,R32,,Japão,1x0,Marrocos,54%,,,,,Vai aos pênaltis,Japão,Japão,PREVISTO,
76,2026-06-29,R32,,Brasil,2x0,Holanda,79%,,,,,Brasil,Brasil,Brasil,PREVISTO,
77,2026-06-30,R32,,França,1x0,Paraguai,71%,,,,,França,França,França,PREVISTO,
78,2026-06-30,R32,,Alemanha,2x1,Noruega,64%,,,,,Alemanha,Alemanha,Alemanha,PREVISTO,
79,2026-06-30,R32,,México,1x0,Escócia,76%,,,,,México,México,México,PREVISTO,
80,2026-07-01,R32,,Inglaterra,1x0,Uzbequistão,77%,,,,,Inglaterra,Inglaterra,Inglaterra,PREVISTO,
81,2026-07-01,R32,,Estados Unidos,2x0,Bósnia e Herzegovina,86%,,,,,Estados Unidos,Estados Unidos,Estados Unidos,PREVISTO,
82,2026-07-01,R32,,Bélgica,1x0,Arábia Saudita,79%,,,,,Bélgica,Bélgica,Bélgica,PREVISTO,
83,2026-07-02,R32,,Portugal,1x0,Croácia,66%,,,,,Portugal,Portugal,Portugal,PREVISTO,
84,2026-07-02,R32,,Espanha,2x0,Argélia,81%,,,,,Espanha,Espanha,Espanha,PREVISTO,
85,2026-07-02,R32,,Suíça,1x0,Costa do Marfim,63%,,,,,Suíça,Suíça,Suíça,PREVISTO,
86,2026-07-03,R32,,Argentina,1x0,Uruguai,73%,,,,,Argentina,Argentina,Argentina,PREVISTO,
87,2026-07-03,R32,,Colômbia,2x0,Panamá,92%,,,,,Colômbia,Colômbia,Colômbia,PREVISTO,
