jogo,data,fase,grupo,mandante,palpite,visitante,P_mandante,P_empate,P_visitante,ousado,mais_provavel,prorrogacao,penaltis,avanca,status,placar_real
1,2026-06-11,group,A,México,2x0,África do Sul,,,,,,,,,FINAL,2x0
2,2026-06-11,group,A,Coreia do Sul,2x1,República Tcheca,,,,,,,,,FINAL,2x1
3,2026-06-12,group,B,Canadá,1x1,Bósnia e Herzegovina,,,,,,,,,FINAL,1x1
4,2026-06-12,group,D,Estados Unidos,4x1,Paraguai,,,,,,,,,FINAL,4x1
5,2026-06-13,group,D,Austrália,2x0,Turquia,,,,,,,,,FINAL,2x0
6,2026-06-13,group,C,Brasil,1x1,Marrocos,,,,,,,,,FINAL,1x1
7,2026-06-13,group,C,Haiti,0x1,Escócia,,,,,,,,,FINAL,0x1
8,2026-06-13,group,B,Catar,1x1,Suíça,,,,,,,,,FINAL,1x1
9,2026-06-14,group,E,Alemanha,7x1,Curaçao,,,,,,,,,FINAL,7x1
10,2026-06-14,group,E,Costa do Marfim,1x0,Equador,,,,,,,,,FINAL,1x0
11,2026-06-14,group,F,Holanda,2x2,Japão,,,,,,,,,FINAL,2x2
12,2026-06-14,group,F,Suécia,5x1,Tunísia,,,,,,,,,FINAL,5x1
13,2026-06-15,group,G,Bélgica,1x1,Egito,,,,,,,,,FINAL,1x1
14,2026-06-15,group,G,Irã,2x2,Nova Zelândia,,,,,,,,,FINAL,2x2
15,2026-06-15,group,H,Arábia Saudita,1x1,Uruguai,,,,,,,,,FINAL,1x1
16,2026-06-15,group,H,Espanha,0x0,Cabo Verde,,,,,,,,,FINAL,0x0
17,2026-06-16,group,J,Argentina,1x0,Argélia,59%,27%,14%,,1x0,,,,PREVISTO,
18,2026-06-16,group,J,Áustria,2x0,Jordânia,56%,26%,18%,,1x0,,,,PREVISTO,
19,2026-06-16,group,I,França,1x0,Senegal,48%,30%,22%,,1x0,,,,PREVISTO,
20,2026-06-16,group,I,Iraque,0x2,Noruega,12%,23%,65%,,0x1,,,,PREVISTO,
21,2026-06-17,group,L,Inglaterra,1x0,Croácia,51%,30%,19%,,1x0,,,,PREVISTO,
22,2026-06-17,group,L,Gana,1x0,Panamá,38%,31%,31%,,1x1,,,,PREVISTO,
23,2026-06-17,group,K,Portugal,1x0,RD Congo,64%,25%,11%,,1x0,,,,PREVISTO,
24,2026-06-17,group,K,Uzbequistão,0x1,Colômbia,15%,29%,56%,,0x1,,,,PREVISTO,
25,2026-06-18,group,B,Canadá,2x0,Catar,59%,25%,16%,,1x0,,,,PREVISTO,
26,2026-06-18,group,A,República Tcheca,1x0,África do Sul,50%,28%,22%,,1x1,,,,PREVISTO,
27,2026-06-18,group,A,México,1x0,Coreia do Sul,48%,29%,23%,,1x1,,,,PREVISTO,
28,2026-06-18,group,B,Suíça,1x0,Bósnia e Herzegovina,57%,27%,16%,,1x0,,,,PREVISTO,
29,2026-06-19,group,C,Brasil,2x0,Haiti,84%,12%,4%,,2x0,,,,PREVISTO,
30,2026-06-19,group,C,Escócia,0x1,Marrocos,17%,35%,48%,,0x1,,,,PREVISTO,
31,2026-06-19,group,D,Turquia,2x1,Paraguai,47%,27%,26%,,1x1,,,,PREVISTO,
32,2026-06-19,group,D,Estados Unidos,0x1,Austrália,29%,29%,42%,,1x1,,,,PREVISTO,
33,2026-06-20,group,E,Equador,2x0,Curaçao,80%,15%,5%,,2x0,,,,PREVISTO,
34,2026-06-20,group,E,Alemanha,1x0,Costa do Marfim,48%,29%,23%,,1x1,,,,PREVISTO,
35,2026-06-20,group,F,Holanda,2x1,Suécia,51%,21%,28%,,2x1,,,,PREVISTO,
36,2026-06-20,group,F,Tunísia,0x2,Japão,8%,17%,75%,,0x2,,,,PREVISTO,
37,2026-06-21,group,G,Bélgica,2x1,Irã,56%,24%,20%,,1x1,,,,PREVISTO,
38,2026-06-21,group,G,Nova Zelândia,0x1,Egito,20%,31%,49%,,0x1,,,,PREVISTO,
39,2026-06-21,group,H,Espanha,2x0,Arábia Saudita,74%,20%,6%,,2x0,,,,PREVISTO,
40,2026-06-21,group,H,Uruguai,1x0,Cabo Verde,43%,39%,18%,,0x0,,,,PREVISTO,
41,2026-06-22,group,J,Argentina,1x0,Áustria,57%,29%,14%,,1x0,,,,PREVISTO,
42,2026-06-22,group,I,França,2x0,Iraque,70%,22%,8%,,1x0,,,,PREVISTO,
43,2026-06-22,group,J,Jordânia,0x2,Argélia,18%,24%,58%,,1x1,,,,PREVISTO,
44,2026-06-22,group,I,Noruega,1x0,Senegal,40%,30%,30%,,1x1,,,,PREVISTO,
45,2026-06-23,group,K,Colômbia,1x0,RD Congo,57%,29%,14%,,1x0,,,,PREVISTO,
46,2026-06-23,group,L,Inglaterra,2x0,Gana,75%,19%,6%,,2x0,,,,PREVISTO,
47,2026-06-23,group,L,Panamá,0x2,Croácia,11%,21%,68%,,0x2,,,,PREVISTO,
48,2026-06-23,group,K,Portugal,2x0,Uzbequistão,64%,24%,12%,,1x0,,,,PREVISTO,
49,2026-06-24,group,B,Bósnia e Herzegovina,1x0,Catar,40%,31%,29%,,1x1,,,,PREVISTO,
50,2026-06-24,group,B,Suíça,1x0,Canadá,40%,30%,30%,,1x1,,,,PREVISTO,
51,2026-06-24,group,A,República Tcheca,0x2,México,16%,24%,60%,,0x1,,,,PREVISTO,
52,2026-06-24,group,C,Marrocos,2x0,Haiti,74%,20%,6%,,1x0,,,,PREVISTO,
53,2026-06-24,group,C,Escócia,0x1,Brasil,16%,27%,57%,,0x1,,,,PREVISTO,
54,2026-06-24,group,A,África do Sul,0x1,Coreia do Sul,16%,27%,57%,,0x1,,,,PREVISTO,
55,2026-06-25,group,E,Curaçao,0x2,Costa do Marfim,4%,12%,84%,,0x2,,,,PREVISTO,
56,2026-06-25,group,E,Equador,0x1,Alemanha,20%,29%,51%,,0x1,,,,PREVISTO,
57,2026-06-25,group,F,Japão,2x1,Suécia,48%,23%,29%,,1x1,,,,PREVISTO,
58,2026-06-25,group,D,Paraguai,0x1,Austrália,12%,27%,61%,,0x1,,,,PREVISTO,
59,2026-06-25,group,F,Tunísia,0x3,Holanda,7%,14%,79%,,0x2,,,,PREVISTO,
60,2026-06-25,group,D,Turquia,1x2,Estados Unidos,23%,22%,55%,,1x2,,,,PREVISTO,
61,2026-06-26,group,H,Cabo Verde,0x0,Arábia Saudita,31%,41%,28%,,0x0,,,,PREVISTO,
62,2026-06-26,group,G,Egito,1x0,Irã,38%,31%,31%,,1x1,,,,PREVISTO,
63,2026-06-26,group,G,Nova Zelândia,0x2,Bélgica,11%,20%,69%,,0x2,,,,PREVISTO,
64,2026-06-26,group,I,Noruega,1x2,França,27%,28%,45%,,1x1,,,,PREVISTO,
65,2026-06-26,group,I,Senegal,1x0,Iraque,55%,30%,15%,,1x0,,,,PREVISTO,
66,2026-06-26,group,H,Uruguai,0x1,Espanha,16%,30%,54%,,0x1,,,,PREVISTO,
67,2026-06-27,group,J,Argélia,0x1,Áustria,35%,31%,34%,⚡,1x1,,,,PREVISTO,
68,2026-06-27,group,K,Colômbia,1x2,Portugal,29%,28%,43%,,1x1,,,,PREVISTO,
69,2026-06-27,group,L,Croácia,2x0,Gana,62%,25%,13%,,1x0,,,,PREVISTO,
70,2026-06-27,group,K,RD Congo,0x1,Uzbequistão,29%,39%,32%,⚡,0x0,,,,PREVISTO,
71,2026-06-27,group,J,Jordânia,0x2,Argentina,5%,16%,79%,,0x2,,,,PREVISTO,
72,2026-06-27,group,L,Panamá,0x2,Inglaterra,5%,15%,80%,,0x2,,,,PREVISTO,
73,2026-06-28,R32,,Coreia do Sul,1x0,Canadá,61%,,,,,Coreia do Sul,Coreia do Sul,Coreia do Sul,PREVISTO,
74,2026-06-29,R32,,Alemanha,2x0,Escócia,78%,,,,,Alemanha,Alemanha,Alemanha,PREVISTO,
75,2026-06-29,R32,,Holanda,0x1,Marrocos,46%,,,,,Vai aos pênaltis,Marrocos,Marrocos,PREVISTO,
76,2026-06-29,R32,,Brasil,2x1,Japão,60%,,,,,Brasil,Brasil,Brasil,PREVISTO,
77,2026-06-30,R32,,França,2x0,Turquia,82%,,,,,França,França,França,PREVISTO,
78,2026-06-30,R32,,Costa do Marfim,0x1,Noruega,42%,,,,,Vai aos pênaltis,Noruega,Noruega,PREVISTO,
79,2026-06-30,R32,,México,1x0,Equador,57%,,,,,Vai aos pênaltis,México,México,PREVISTO,
80,2026-07-01,R32,,Inglaterra,1x0,Senegal,74%,,,,,Inglaterra,Inglaterra,Inglaterra,PREVISTO,
81,2026-07-01,R32,,Austrália,2x1,Suécia,62%,,,,,Austrália,Austrália,Austrália,PREVISTO,
82,2026-07-01,R32,,Bélgica,2x0,República Tcheca,78%,,,,,Bélgica,Bélgica,Bélgica,PREVISTO,
83,2026-07-02,R32,,Colômbia,1x0,Croácia,60%,,,,,Colômbia,Colômbia,Colômbia,PREVISTO,
84,2026-07-02,R32,,Espanha,1x0,Argélia,80%,,,,,Espanha,Espanha,Espanha,PREVISTO,
85,2026-07-02,R32,,Suíça,0x1,Áustria,52%,,,,,Vai aos pênaltis,Suíça,Suíça,PREVISTO,
86,2026-07-03,R32,,Argentina,1x0,Uruguai,79%,,,,,Argentina,Argentina,Argentina,PREVISTO,
87,2026-07-03,R32,,Portugal,2x0,Gana,92%,,,,,Portugal,Portugal,Portugal,PREVISTO,
88,2026-07-03,R32,,Estados Unidos,1x0,Egito,54%,,,,,Vai aos pênaltis,Estados Unidos,Estados Unidos,PREVISTO,
