jogo,data,fase,grupo,mandante,palpite,visitante,P_mandante,P_empate,P_visitante,ousado,mais_provavel,prorrogacao,penaltis,avanca,status,placar_real
89,2026-07-04,R16,,Coreia do Sul,0x1,Marrocos,29%,,,,,Marrocos,Marrocos,Marrocos,PREVISTO,
90,2026-07-04,R16,,Alemanha,1x2,França,47%,,,,,Vai aos pênaltis,França,França,PREVISTO,
91,2026-07-05,R16,,Brasil,2x1,Noruega,63%,,,,,Brasil,Brasil,Brasil,PREVISTO,
92,2026-07-05,R16,,México,0x1,Inglaterra,28%,,,,,Inglaterra,Inglaterra,Inglaterra,PREVISTO,
93,2026-07-06,R16,,Colômbia,0x1,Espanha,33%,,,,,Espanha,Espanha,Espanha,PREVISTO,
94,2026-07-06,R16,,Austrália,0x1,Bélgica,53%,,,,,Vai aos pênaltis,Austrália,Austrália,PREVISTO,
95,2026-07-07,R16,,Argentina,2x0,Estados Unidos,84%,,,,,Argentina,Argentina,Argentina,PREVISTO,
96,2026-07-07,R16,,Suíça,0x2,Portugal,26%,,,,,Portugal,Portugal,Portugal,PREVISTO,
97,2026-07-09,QF,,Marrocos,0x1,França,47%,,,,,Vai aos pênaltis,França,França,PREVISTO,
98,2026-07-10,QF,,Espanha,1x0,Austrália,67%,,,,,Espanha,Espanha,Espanha,PREVISTO,
99,2026-07-11,QF,,Brasil,0x1,Inglaterra,42%,,,,,Vai aos pênaltis,Inglaterra,Inglaterra,PREVISTO,
100,2026-07-11,QF,,Argentina,1x0,Portugal,61%,,,,,Argentina,Argentina,Argentina,PREVISTO,
101,2026-07-14,SF,,França,0x1,Espanha,39%,,,,,Espanha,Espanha,Espanha,PREVISTO,
102,2026-07-15,SF,,Inglaterra,0x1,Argentina,44%,,,,,Vai aos pênaltis,Argentina,Argentina,PREVISTO,
103,2026-07-18,3rd_place,,França,0x1,Inglaterra,42%,,,,,Vai aos pênaltis,Inglaterra,Inglaterra,PREVISTO,
104,2026-07-19,final,,Espanha,0x1,Argentina,47%,,,,,Vai aos pênaltis,Argentina,Argentina,PREVISTO,
