jogo,data,fase,grupo,mandante,palpite,visitante,P_mandante,P_empate,P_visitante,ousado,mais_provavel,prorrogacao,penaltis,avanca,status,placar_real
51,2026-06-24,group,A,República Tcheca,0x2,México,14%,21%,65%,,0x2,,,,PREVISTO,
52,2026-06-24,group,C,Marrocos,2x0,Haiti,69%,22%,9%,,1x0,,,,PREVISTO,
53,2026-06-24,group,C,Escócia,0x2,Brasil,5%,14%,81%,,0x2,,,,PREVISTO,
54,2026-06-24,group,A,África do Sul,0x1,Coreia do Sul,16%,26%,58%,,0x1,,,,PREVISTO,
55,2026-06-25,group,E,Curaçao,0x1,Costa do Marfim,14%,25%,61%,,0x1,,,,PREVISTO,
56,2026-06-25,group,E,Equador,1x0,Alemanha,46%,29%,25%,,1x0,,,,PREVISTO,
57,2026-06-25,group,F,Japão,2x0,Suécia,67%,20%,13%,,2x0,,,,PREVISTO,
58,2026-06-25,group,D,Paraguai,1x0,Austrália,38%,34%,28%,,0x0,,,,PREVISTO,
59,2026-06-25,group,F,Tunísia,0x1,Holanda,18%,25%,57%,,0x1,,,,PREVISTO,
60,2026-06-25,group,D,Turquia,1x2,Estados Unidos,22%,22%,56%,,1x1,,,,PREVISTO,
61,2026-06-26,group,H,Cabo Verde,0x1,Arábia Saudita,24%,32%,44%,,0x1,,,,PREVISTO,
62,2026-06-26,group,G,Egito,0x1,Irã,22%,31%,47%,,0x1,,,,PREVISTO,
63,2026-06-26,group,G,Nova Zelândia,0x2,Bélgica,19%,25%,56%,,0x1,,,,PREVISTO,
64,2026-06-26,group,I,Noruega,1x2,França,25%,26%,49%,,1x1,,,,PREVISTO,
65,2026-06-26,group,I,Senegal,1x0,Iraque,49%,31%,20%,,1x0,,,,PREVISTO,
66,2026-06-26,group,H,Uruguai,1x0,Espanha,35%,32%,33%,,1x1,,,,PREVISTO,
67,2026-06-27,group,J,Argélia,1x0,Áustria,39%,29%,32%,,1x1,,,,PREVISTO,
68,2026-06-27,group,K,Colômbia,2x1,Portugal,50%,26%,24%,,1x1,,,,PREVISTO,
69,2026-06-27,group,L,Croácia,1x0,Gana,56%,27%,17%,,1x0,,,,PREVISTO,
70,2026-06-27,group,K,RD Congo,0x1,Uzbequistão,22%,37%,41%,,0x0,,,,PREVISTO,
71,2026-06-27,group,J,Jordânia,0x3,Argentina,3%,10%,87%,,0x2,,,,PREVISTO,
72,2026-06-27,group,L,Panamá,0x2,Inglaterra,11%,21%,68%,,0x1,,,,PREVISTO,
73,2026-06-28,R32,,Coreia do Sul,1x0,Suíça,51%,,,,,Vai aos pênaltis,Coreia do Sul,Coreia do Sul,PREVISTO,
74,2026-06-29,R32,,Equador,1x0,Escócia,85%,,,,,Equador,Equador,Equador,PREVISTO,
75,2026-06-29,R32,,Japão,1x0,Marrocos,54%,,,,,Vai aos pênaltis,Japão,Japão,PREVISTO,
76,2026-06-29,R32,,Brasil,2x0,Holanda,81%,,,,,Brasil,Brasil,Brasil,PREVISTO,
77,2026-06-30,R32,,França,1x0,Arábia Saudita,83%,,,,,França,França,França,PREVISTO,
78,2026-06-30,R32,,Alemanha,2x1,Senegal,64%,,,,,Alemanha,Alemanha,Alemanha,PREVISTO,
79,2026-06-30,R32,,México,1x0,Costa do Marfim,67%,,,,,México,México,México,PREVISTO,
80,2026-07-01,R32,,Inglaterra,1x0,Uzbequistão,76%,,,,,Inglaterra,Inglaterra,Inglaterra,PREVISTO,
81,2026-07-01,R32,,Paraguai,2x0,Catar,89%,,,,,Paraguai,Paraguai,Paraguai,PREVISTO,
82,2026-07-01,R32,,Bélgica,2x0,República Tcheca,76%,,,,,Bélgica,Bélgica,Bélgica,PREVISTO,
83,2026-07-02,R32,,Portugal,1x0,Croácia,70%,,,,,Portugal,Portugal,Portugal,PREVISTO,
84,2026-07-02,R32,,Espanha,2x0,Argélia,80%,,,,,Espanha,Espanha,Espanha,PREVISTO,
85,2026-07-02,R32,,Canadá,1x0,Tunísia,66%,,,,,Canadá,Canadá,Canadá,PREVISTO,
86,2026-07-03,R32,,Argentina,1x0,Uruguai,74%,,,,,Argentina,Argentina,Argentina,PREVISTO,
87,2026-07-03,R32,,Colômbia,2x0,Panamá,93%,,,,,Colômbia,Colômbia,Colômbia,PREVISTO,
88,2026-07-03,R32,,Austrália,1x0,Irã,51%,,,,,Vai aos pênaltis,Austrália,Austrália,PREVISTO,
89,2026-07-04,R16,,Coreia do Sul,0x1,Japão,29%,,,,,Japão,Japão,Japão,PREVISTO,
90,2026-07-04,R16,,Equador,1x0,França,62%,,,,,Equador,Equador,Equador,PREVISTO,
91,2026-07-05,R16,,Brasil,2x0,Alemanha,81%,,,,,Brasil,Brasil,Brasil,PREVISTO,
92,2026-07-05,R16,,México,0x1,Inglaterra,35%,,,,,Inglaterra,Inglaterra,Inglaterra,PREVISTO,
